order_details_id,order_id,order_date,order_time,item_id,Payment Method,Platform,Branch,Quantity,Order Status
1,1,24-03-2024,07:26:08 AM,105,online,Swiggy,Attapur,1,complete
2,1,24-03-2024,07:26:08 AM,129,online,Swiggy,Attapur,3,complete
3,1,24-03-2024,07:26:08 AM,102,online,Swiggy,Attapur,1,complete
4,2,13-11-2025,12:49:13 PM,111,online,local,Mehdipatnam,2,complete
5,2,13-11-2025,12:49:13 PM,106,online,local,Mehdipatnam,2,complete
6,3,08-04-2025,10:37:28 AM,118,online,Swiggy,Gachibowli,2,complete
7,3,08-04-2025,10:37:28 AM,106,online,Swiggy,Gachibowli,3,complete
8,3,08-04-2025,10:37:28 AM,128,online,Swiggy,Gachibowli,1,complete
9,3,08-04-2025,10:37:28 AM,104,online,Swiggy,Gachibowli,1,complete
10,4,04-10-2025,04:23:11 PM,115,cash,local,Banjara Hills,2,complete
11,4,04-10-2025,04:23:11 PM,106,cash,local,Banjara Hills,3,complete
12,4,04-10-2025,04:23:11 PM,131,cash,local,Banjara Hills,1,complete
13,5,30-05-2025,01:49:34 PM,110,online,Zomato,Banjara Hills,2,complete
14,6,09-10-2025,06:20:29 PM,117,online,local,Gachibowli,1,refunded
15,6,09-10-2025,06:20:29 PM,108,online,local,Gachibowli,2,refunded
16,6,09-10-2025,06:20:29 PM,113,online,local,Gachibowli,2,refunded
17,6,09-10-2025,06:20:29 PM,109,online,local,Gachibowli,1,refunded
18,6,09-10-2025,06:20:29 PM,109,online,local,Gachibowli,1,refunded
19,6,09-10-2025,06:20:29 PM,123,online,local,Gachibowli,2,refunded
20,7,16-06-2024,10:37:43 PM,106,online,Zomato,Gachibowli,1,complete
21,7,16-06-2024,10:37:43 PM,116,online,Zomato,Gachibowli,2,complete
22,7,16-06-2024,10:37:43 PM,123,online,Zomato,Gachibowli,1,complete
23,8,18-12-2025,01:03:49 PM,121,online,local,Banjara Hills,2,complete
24,8,18-12-2025,01:03:49 PM,125,online,local,Banjara Hills,1,complete
25,8,18-12-2025,01:03:49 PM,111,online,local,Banjara Hills,4,complete
26,9,29-01-2024,08:33:42 PM,126,online,Swiggy,Gachibowli,2,complete
27,10,20-04-2024,09:24:33 AM,129,online,Swiggy,Gachibowli,3,complete
28,10,20-04-2024,09:24:33 AM,131,online,Swiggy,Gachibowli,4,complete
29,11,29-10-2024,05:28:49 PM,108,online,Zomato,Gachibowli,2,complete
30,11,29-10-2024,05:28:49 PM,128,online,Zomato,Gachibowli,4,complete
31,12,04-06-2024,09:20:39 PM,106,online,Zomato,Banjara Hills,3,complete
32,12,04-06-2024,09:20:39 PM,107,online,Zomato,Banjara Hills,2,complete
33,12,04-06-2024,09:20:39 PM,107,online,Zomato,Banjara Hills,2,complete
34,12,04-06-2024,09:20:39 PM,108,online,Zomato,Banjara Hills,1,complete
35,12,04-06-2024,09:20:39 PM,107,online,Zomato,Banjara Hills,1,complete
36,13,02-12-2025,08:27:55 PM,128,online,Swiggy,Gachibowli,1,complete
37,13,02-12-2025,08:27:55 PM,111,online,Swiggy,Gachibowli,2,complete
38,13,02-12-2025,08:27:55 PM,124,online,Swiggy,Gachibowli,4,complete
39,14,19-08-2025,09:01:31 PM,127,online,Zomato,Mehdipatnam,1,complete
40,14,19-08-2025,09:01:31 PM,124,online,Zomato,Mehdipatnam,2,complete
41,14,19-08-2025,09:01:31 PM,107,online,Zomato,Mehdipatnam,1,complete
42,14,19-08-2025,09:01:31 PM,115,online,Zomato,Mehdipatnam,1,complete
43,15,24-02-2025,03:52:02 PM,127,online,Swiggy,Mehdipatnam,1,complete
44,15,24-02-2025,03:52:02 PM,116,online,Swiggy,Mehdipatnam,1,complete
45,16,16-12-2024,12:00:26 PM,112,cash,local,Attapur,1,complete
46,17,24-10-2025,01:49:30 PM,106,online,Swiggy,Banjara Hills,2,complete
47,17,24-10-2025,01:49:30 PM,114,online,Swiggy,Banjara Hills,1,complete
48,18,13-02-2025,03:18:09 PM,123,cash,local,Banjara Hills,2,complete
49,19,31-12-2024,07:39:42 AM,101,online,Zomato,Charminar,2,complete
50,19,31-12-2024,07:39:42 AM,129,online,Zomato,Charminar,1,complete
51,19,31-12-2024,07:39:42 AM,101,online,Zomato,Charminar,3,complete
52,19,31-12-2024,07:39:42 AM,104,online,Zomato,Charminar,2,complete
53,20,29-08-2024,05:36:24 PM,121,online,Swiggy,Mehdipatnam,3,complete
54,20,29-08-2024,05:36:24 PM,128,online,Swiggy,Mehdipatnam,2,complete
55,21,28-03-2024,01:31:09 PM,109,online,Swiggy,Gachibowli,2,complete
56,21,28-03-2024,01:31:09 PM,121,online,Swiggy,Gachibowli,2,complete
57,21,28-03-2024,01:31:09 PM,113,online,Swiggy,Gachibowli,1,complete
58,22,29-10-2024,03:59:39 PM,132,online,Swiggy,Mehdipatnam,1,complete
59,22,29-10-2024,03:59:39 PM,131,online,Swiggy,Mehdipatnam,3,complete
60,23,22-12-2025,09:01:05 PM,109,online,Zomato,Gachibowli,3,cancelled
61,23,22-12-2025,09:01:05 PM,123,online,Zomato,Gachibowli,1,cancelled
62,23,22-12-2025,09:01:05 PM,131,online,Zomato,Gachibowli,3,cancelled
63,23,22-12-2025,09:01:05 PM,107,online,Zomato,Gachibowli,1,cancelled
64,23,22-12-2025,09:01:05 PM,106,online,Zomato,Gachibowli,2,cancelled
65,23,22-12-2025,09:01:05 PM,128,online,Zomato,Gachibowli,3,cancelled
66,24,26-09-2024,03:02:29 PM,114,online,local,Mehdipatnam,3,complete
67,24,26-09-2024,03:02:29 PM,121,online,local,Mehdipatnam,1,complete
68,24,26-09-2024,03:02:29 PM,128,online,local,Mehdipatnam,1,complete
69,24,26-09-2024,03:02:29 PM,111,online,local,Mehdipatnam,1,complete
70,25,15-05-2024,02:54:41 PM,124,online,Swiggy,Banjara Hills,3,complete
71,25,15-05-2024,02:54:41 PM,111,online,Swiggy,Banjara Hills,1,complete
72,25,15-05-2024,02:54:41 PM,131,online,Swiggy,Banjara Hills,1,complete
73,26,05-03-2025,09:22:48 PM,115,online,local,Banjara Hills,3,complete
74,27,30-11-2024,05:55:15 PM,128,online,Swiggy,Gachibowli,1,complete
75,27,30-11-2024,05:55:15 PM,112,online,Swiggy,Gachibowli,3,complete
76,28,25-09-2025,07:42:29 PM,118,online,local,Charminar,1,complete
77,29,26-07-2025,05:43:14 PM,113,online,local,Charminar,2,complete
78,30,10-12-2025,10:15:51 PM,123,online,Zomato,Banjara Hills,2,complete
79,30,10-12-2025,10:15:51 PM,124,online,Zomato,Banjara Hills,3,complete
80,30,10-12-2025,10:15:51 PM,119,online,Zomato,Banjara Hills,4,complete
81,31,02-04-2025,02:14:52 PM,122,online,local,Charminar,1,complete
82,31,02-04-2025,02:14:52 PM,117,online,local,Charminar,1,complete
83,31,02-04-2025,02:14:52 PM,128,online,local,Charminar,1,complete
84,32,05-11-2025,08:03:21 PM,128,online,local,Mehdipatnam,1,complete
85,32,05-11-2025,08:03:21 PM,113,online,local,Mehdipatnam,2,complete
86,32,05-11-2025,08:03:21 PM,128,online,local,Mehdipatnam,1,complete
87,32,05-11-2025,08:03:21 PM,125,online,local,Mehdipatnam,1,complete
88,32,05-11-2025,08:03:21 PM,125,online,local,Mehdipatnam,1,complete
89,33,11-04-2024,10:58:30 PM,111,online,local,Attapur,1,complete
90,34,06-04-2025,02:19:04 PM,117,online,local,Mehdipatnam,2,complete
91,34,06-04-2025,02:19:04 PM,125,online,local,Mehdipatnam,1,complete
92,35,05-04-2025,08:06:26 PM,113,online,Zomato,Mehdipatnam,1,complete
93,35,05-04-2025,08:06:26 PM,112,online,Zomato,Mehdipatnam,3,complete
94,36,28-12-2024,08:16:22 PM,127,cash,local,Charminar,2,complete
95,37,18-10-2024,05:56:18 PM,128,online,Zomato,Attapur,1,cancelled
96,38,06-05-2024,08:20:11 PM,106,online,Zomato,Banjara Hills,1,complete
97,38,06-05-2024,08:20:11 PM,128,online,Zomato,Banjara Hills,5,complete
98,39,25-05-2024,12:33:02 AM,113,cash,Swiggy,Gachibowli,2,complete
99,40,30-12-2024,12:33:13 PM,107,cash,local,Gachibowli,2,complete
100,40,30-12-2024,12:33:13 PM,101,cash,local,Gachibowli,1,complete
101,40,30-12-2024,12:33:13 PM,106,cash,local,Gachibowli,2,complete
102,41,29-02-2024,09:09:13 AM,107,online,local,Charminar,2,complete
103,41,29-02-2024,09:09:13 AM,102,online,local,Charminar,1,complete
104,42,07-06-2024,01:15:18 PM,115,online,Swiggy,Banjara Hills,1,complete
105,42,07-06-2024,01:15:18 PM,125,online,Swiggy,Banjara Hills,2,complete
106,42,07-06-2024,01:15:18 PM,112,online,Swiggy,Banjara Hills,1,complete
